gvkey,conm,cik,tic,datadate,fyear,rcp,at,lag1_at,big1_rstr,big05_rstr,Select manual verification,,,N/A = Missing 10k
1004,AAR CORP,1750,AIR,5/31/2020,2019,-43.7,2079,1517.2,TRUE,TRUE,1,V,,
1004,AAR CORP,1750,AIR,5/31/2021,2020,-14.5,1539.7,2079,FALSE,TRUE,1,V,,
1010,ACF INDUSTRIES INC,910627,4165A,12/31/2003,2003,361.5,4832.1,3702.5,TRUE,TRUE,1,N/A,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2001,2001,-267.2,2499.7,3970.5,TRUE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2002,2002,-434.3,1144.2,2499.7,TRUE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2003,2003,-41.8,1296.9,1144.2,TRUE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2004,2004,-12.3,1428.1,1296.9,FALSE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2005,2005,-14.7,1535,1428.1,TRUE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2006,2006,-19.6,1611.4,1535,TRUE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2007,2007,-10.4,1764.8,1611.4,FALSE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,10/31/2008,2008,-11.1,1921,1764.8,FALSE,TRUE,1,V,,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,9/30/2009,2009,-34.2,1343.6,1921,TRUE,TRUE,1,-,Missing 10k,
1013,ADC TELECOMMUNICATIONS INC,61478,ADCT.1,9/30/2010,2010,-13.1,1474.5,1343.6,FALSE,TRUE,1,V,,
1034,ALPHARMA INC  -CL A,730469,ALO.2,12/31/2001,2001,-15.1,2390.008,1610.435,FALSE,TRUE,1,V,,
